1@0@115@1	Live!_Concert_Grand_Piano
2@0@112@1	Grand_Piano
3@0@112@2	Bright_Piano
4@0@112@7	Harpsichord
5@0@112@4	Honky_Tonk_Piano
6@0@112@3	MIDI_Grand_Piano
7@0@113@3	CP80
8@0@118@5	Cool!_SuitcaseEP
9@0@118@6	JazzChorusEP
10@0@120@5	PhaseEP
11@0@119@5	Cool!_TremoloEP
12@0@121@5	Cool!_ElectricPiano
13@0@117@5	StageEP
14@0@114@5	Cool!_Galaxy_Electric_Piano
15@0@113@6	Hyper_Tines
16@0@112@5	Funky_Electric_Piano
17@0@112@6	DX_Modern_Electric_Piano
18@0@114@6	Venus_Electric_Piano
19@0@112@8	Clavi
20@0@113@8	WahClavi
21@0@118@19	Cool!_Organ
22@0@117@19	Cool!_Rotor_Organ
23@0@112@17	Jazz_Organ_1
24@104@49@17	Jazz_Organ_1+RotaryFast
25@0@113@17	Jazz_Organ_2
26@104@50@17	Jazz_Organ_2+RotaryFast
27@0@112@19	Rock_Organ
28@0@120@19	Octave_Shift_Organ
29@0@114@19	Purple_Organ
30@0@112@18	Click_Organ
31@0@116@17	Bright_Organ
32@0@127@19	Theater_Organ
33@0@121@20	16'+2'_Organ
34@0@120@20	16'+4'_Organ
35@0@113@20	Chapel_Organ
36@0@112@20	Pipe_Organ
37@0@112@21	Reed_Organ
38@0@112@22	Musette_Accordion
39@0@113@22	Traditional_Accordion
40@0@113@24	Bandoneon
41@0@113@23	Modern_Harp
42@0@114@23	Blues_Harp
43@0@115@23	Harmonica
44@8@96@1	S.Art_Lite_Nylon_Guitar_Harmonics
45@8@96@2	S.Art_Lite_Steel_Guitar_Harmonics
46@8@97@1	S.Art_Lite_Nylon_Guitar_Slide
47@8@97@2	S.Art_Lite_Steel_Guitar_Slide
48@8@96@6	S.Art_Lite_Distortion_Guitar
49@0@116@25	Dynamic_Nylon_Guitar
50@0@118@30	Dynamic_Overdriven
51@0@121@31	Dynamic_Distortion_Guitar
52@0@122@25	Nylon_Guitar
53@0@112@25	Classical_Guitar
54@104@25@26	Steel_Guitar
55@0@112@26	Folk_Guitar
56@0@112@27	Jazz_Guitar
57@0@117@28	60s_Clean_Guitar
58@0@113@26	12Strings_Guitar
59@0@112@28	Clean_Guitar
60@0@127@28	Wah_Guitar
61@0@113@27	Octave_Guitar
62@0@112@29	Muted_Guitar
63@0@112@30	Overdriven_Guitar
64@0@112@31	Distortion_Guitar
65@0@127@31	Wah_Distortion_Guitar
66@8@96@18	S.Art_Lite_Slap_Bass
67@0@116@34	Dynamic_Electric_Bass
68@0@112@34	Finger_Bass
69@0@112@33	Acoustic_Bass
70@0@112@35	Pick_Bass
71@0@112@36	Fretless_Bass
72@0@112@37	Slap_Bass
73@0@121@40	Funk_Bass
74@0@112@39	Synth_Bass
75@0@113@39	Hi-Q_Bass
76@0@113@40	Dance_Bass
77@8@96@50	S.Art_Lite_Strings
78@0@117@50	Live!_Strings
79@104@23@49	Studio_Strings
80@0@112@49	Strings
81@0@112@50	Chamber_Strings
82@0@115@50	Marcato_Strings
83@0@113@50	Slow_Strings
84@0@112@45	Tremolo_Strings
85@0@112@51	Synth_Strings
86@0@112@46	Pizzicato_Strings
87@0@116@46	Orchestra_Pizzicato_Strings
88@0@113@41	Sweet!_Violin
89@0@112@41	Violin
90@0@112@43	Cello
91@0@112@44	Contrabass
92@0@112@47	Harp
93@0@112@56	Orchestra_Hit
94@8@96@55	S.Art_Lite_Gospel_Choir
95@0@112@53	Choir
96@104@12@54	Gospel_Hmm
97@104@13@54	Gospel_Wow
98@0@113@53	Vocal_Ensemble
99@0@112@55	Air_Choir
100@0@112@54	Vox_Humana
101@8@96@83	S.Art_Lite_Tenor_Sax
102@0@122@67	Sax_Section
103@0@117@67	Sweet!_Tenor_Sax
104@0@112@67	Tenor_Sax
105@0@112@66	Alto_Sax
106@0@112@65	Soprano_Sax
107@0@112@68	Baritone_Sax
108@0@114@67	Breathy_Tenor_Sax
109@0@116@66	Small_Sax_Section
110@0@112@72	Clarinet
111@0@112@69	Oboe
112@0@112@70	English_Horn
113@0@112@71	Bassoon
114@0@112@57	Trumpet
115@0@127@57	Distortion_Trumpet
116@0@112@58	Trombone
117@0@113@58	Trombone_Section
118@0@112@60	Muted_Trumpet
119@0@112@61	French_Horn
120@0@112@59	Tuba
121@8@96@57	S.Art_Lite_Brass_Section
122@0@117@63	Live!_Brass
123@0@112@62	Brass_Section
124@0@113@62	Big_Band_Brass
125@0@116@62	Octave_Brass
126@0@113@63	80s_Brass
127@0@119@62	Mellow_Horns
128@0@115@63	Funky_Brass
129@0@114@63	Techno_Brass
130@0@112@63	Synth_Brass
131@8@96@74	S.Art_Lite_Flute
132@0@114@74	Sweet!_Flute
133@0@115@74	Sweet!_Classical_Flute
134@0@112@74	Flute
135@0@112@73	Piccolo
136@0@112@76	Pan_Flute
137@0@112@75	Recorder
138@0@112@80	Ocarina
139@104@20@91	Gemini
140@104@21@91	Hands_Up!
141@0@112@81	Square_Lead
142@0@112@82	Sawtooth_Lead
143@0@108@82	RS_Tech_Saw
144@0@112@88	Under_Heim
145@0@112@85	Portatone
146@0@115@82	Analogon_1
147@0@119@82	Fargo_1
148@104@53@82	Analogon_2
149@104@54@82	Fargo_2
150@0@112@86	Voice_Lead
151@0@121@82	Funky_Lead
152@0@118@89	Sweet_Heaven
153@0@121@89	Dream_Heaven
154@0@113@89	Symbiont
155@0@112@99	Stardust
156@0@112@101	Brightness
157@0@112@92	Xenon_Pad
158@0@112@95	Equinox
159@0@112@89	Fantasia
160@0@113@90	Dark_Moon
161@0@113@101	Bell_Pad
162@0@126@90	RS_Analog_Pad
163@0@116@91	RS_Short_Resonance
164@0@112@12	Vibraphone
165@0@113@12	Jazz_Vibes
166@0@112@13	Marimba
167@0@112@14	Xylophone
168@0@112@115	Steel_Drums
169@0@112@9	Celesta
170@0@112@11	Music_Box
171@0@112@15	Tubular_Bells
172@0@112@48	Timpani
173@0@112@106	Banjo
174@0@0@111	Fiddle
175@0@0@110	Bagpipe
176@0@0@16	Dulcimer_1
177@0@35@16	Dulcimer_2
178@0@96@16	Cimbalom
179@0@121@16	Santur
180@0@97@108	Kanoon
181@0@98@106	Oud
182@0@96@106	Rabab
183@0@0@109	Kalimba
184@0@113@21	Harmonium_1_(Single_Reed)
185@0@114@21	Harmonium_2_(Double_Reed)
186@0@115@21	Harmonium_3_(Triple_Reed)
187@0@114@105	Tanpura
188@0@96@112	Pungi
189@0@117@74	Bansuri
190@0@0@105	Sitar_1
191@0@32@105	Detuned_Sitar
192@0@35@105	Sitar_2
193@0@0@112	Shehnai
194@0@97@106	Gopichant
195@0@116@117	Tabla
196@0@115@111	Er_Hu
197@0@118@74	Di_Zi
198@0@116@106	Pi_Pa
199@0@113@108	Gu_Zheng
200@0@40@47	Yang_Qin
201@0@120@111	Morin_Khuur
202@0@124@74	Suling
203@0@0@107	Shamisen
204@0@0@108	Koto
205@0@96@108	Taisho-kin
233@0@0@121	Fret_Noise
234@0@0@122	Breath_Noise
235@0@0@123	Seashore
236@0@0@124	Bird_Tweet
237@0@0@125	Telephone_Ring
238@0@0@126	Helicopter
239@0@0@127	Applause
240@0@113@116	Hand_Clap
241@0@0@128	Gunshot
242@127@0@88	Power_Kit
243@127@0@1	Standard_Kit_1
244@127@0@2	Standard_Kit_2
245@127@0@9	Room_Kit
246@127@0@17	Rock_Kit
247@127@0@25	Electronic_Kit
248@127@0@26	Analog_Kit
249@127@0@113	Dance_Kit
250@127@0@33	Jazz_Kit
251@127@0@41	Brush_Kit
252@127@0@49	Symphony_Kit
253@126@0@128	StdKit_1_+_Chinese_Perc.
254@126@0@40	Indian_Kit_1
255@126@0@115	Indian_Kit_2
256@126@0@55	StdKit_1_+_Indonesian_Perc._1
